model,condition,row_type,goal_achieved_strict_all_k,recall_kept_all_k,violation_lower_all_k,avg_violation_lower,method,candidate_top_n,alpha,gamma,beta,avg_recall_minus_violation,avg_violation,baseline_avg_violation,recall@3,recall@5,recall@7,recall@9,baseline_recall@3,baseline_recall@5,baseline_recall@7,baseline_recall@9,recall_kept@3,recall_kept@5,recall_kept@7,recall_kept@9,violation_rate@3,violation_rate@5,violation_rate@7,violation_rate@9,baseline_violation_rate@3,baseline_violation_rate@5,baseline_violation_rate@7,baseline_violation_rate@9,violation_lower@3,violation_lower@5,violation_lower@7,violation_lower@9,source_csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.5,5,0.25,,0.5,0.09549999999999996,0.703000,0.882250,0.341,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.118,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.75,5,0.25,,0.75,0.07874999999999996,0.701250,0.882250,0.267,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.111,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b1,5,0.25,,1.0,0.07374999999999995,0.699250,0.882250,0.239,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.103,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.1,5,0.5,,0.1,0.07249999999999995,0.872500,0.882250,0.927,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.796,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.2,5,0.5,,0.2,0.08699999999999997,0.856750,0.882250,0.922,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.733,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.3,5,0.5,,0.3,0.10699999999999996,0.836000,0.882250,0.919,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.65,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.5,5,0.5,,0.5,0.15124999999999994,0.774000,0.882250,0.848,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.402,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.75,5,0.5,,0.75,0.10449999999999995,0.709750,0.882250,0.404,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.145,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b1,5,0.5,,1.0,0.09549999999999996,0.703000,0.882250,0.341,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.118,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.1,5,0.75,,0.1,0.06949999999999995,0.876000,0.882250,0.929,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.81,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.2,5,0.75,,0.2,0.07774999999999996,0.867250,0.882250,0.927,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.775,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.3,5,0.75,,0.3,0.08699999999999997,0.856750,0.882250,0.922,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.733,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.5,5,0.75,,0.5,0.11199999999999996,0.829000,0.882250,0.911,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.622,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.75,5,0.75,,0.75,0.15124999999999994,0.774000,0.882250,0.848,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.402,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b1,5,0.75,,1.0,0.11224999999999996,0.714250,0.882250,0.453,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.163,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.1,5,1.0,,0.1,0.06799999999999998,0.877500,0.882250,0.929,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.816,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.2,5,1.0,,0.2,0.07249999999999995,0.872500,0.882250,0.927,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.796,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.3,5,1.0,,0.3,0.07899999999999996,0.866000,0.882250,0.927,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.77,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.5,5,1.0,,0.5,0.09649999999999997,0.847000,0.882250,0.921,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.694,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.75,5,1.0,,0.75,0.12024999999999997,0.818000,0.882250,0.9,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.578,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1_b1,5,1.0,,1.0,0.15124999999999994,0.774000,0.882250,0.848,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.402,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,True,False,True,score_anti_rrf_no_target_c5_a1.5_b0.1,5,1.5,,0.1,0.06774999999999998,0.878250,0.882250,0.931,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,True,True,True,True,0.819,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.2,5,1.5,,0.2,0.06949999999999995,0.876000,0.882250,0.929,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.81,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.3,5,1.5,,0.3,0.07249999999999995,0.872500,0.882250,0.927,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.796,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.5,5,1.5,,0.5,0.08199999999999996,0.862750,0.882250,0.926,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.757,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.75,5,1.5,,0.75,0.09649999999999997,0.847000,0.882250,0.921,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.694,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b1,5,1.5,,1.0,0.11199999999999996,0.829000,0.882250,0.911,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.622,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,True,False,True,score_anti_rrf_no_target_c5_a2_b0.1,5,2.0,,0.1,0.06724999999999998,0.878750,0.882250,0.931,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,True,True,True,True,0.821,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.2,5,2.0,,0.2,0.06799999999999998,0.877500,0.882250,0.929,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.816,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.3,5,2.0,,0.3,0.07074999999999995,0.874500,0.882250,0.928,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.804,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.5,5,2.0,,0.5,0.07524999999999996,0.869500,0.882250,0.926,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.784,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.75,5,2.0,,0.75,0.08474999999999996,0.859000,0.882250,0.922,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.742,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a2_b1,5,2.0,,1.0,0.09649999999999997,0.847000,0.882250,0.921,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.694,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.1,10,0.0,,0.1,0.08474999999999999,0.133250,0.882250,0.075,0.116,0.165,0.516,0.931000,0.946000,0.953000,0.954000,False,False,False,False,0.024,0.034,0.069,0.406,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.2,10,0.0,,0.2,0.08474999999999999,0.133250,0.882250,0.075,0.116,0.165,0.516,0.931000,0.946000,0.953000,0.954000,False,False,False,False,0.024,0.034,0.069,0.406,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.3,10,0.0,,0.3,0.08474999999999999,0.133250,0.882250,0.075,0.116,0.165,0.516,0.931000,0.946000,0.953000,0.954000,False,False,False,False,0.024,0.034,0.069,0.406,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.5,10,0.0,,0.5,0.08474999999999999,0.133250,0.882250,0.075,0.116,0.165,0.516,0.931000,0.946000,0.953000,0.954000,False,False,False,False,0.024,0.034,0.069,0.406,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0_b0.75,10,0.0,,0.75,0.08474999999999999,0.133250,0.882250,0.075,0.116,0.165,0.516,0.931000,0.946000,0.953000,0.954000,False,False,False,False,0.024,0.034,0.069,0.406,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0_b1,10,0.0,,1.0,0.08474999999999999,0.133250,0.882250,0.075,0.116,0.165,0.516,0.931000,0.946000,0.953000,0.954000,False,False,False,False,0.024,0.034,0.069,0.406,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b0.1,10,0.25,,0.1,0.13974999999999999,0.802750,0.882250,0.924,0.941,0.951,0.954,0.931000,0.946000,0.953000,0.954000,False,False,False,True,0.729,0.794,0.828,0.86,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,True,True,score_anti_rrf_no_target_c10_a0.25_b0.2,10,0.25,,0.2,0.30300000000000005,0.616500,0.882250,0.885,0.913,0.933,0.947,0.931000,0.946000,0.953000,0.954000,False,False,False,False,0.486,0.583,0.651,0.746,0.835000,0.883000,0.900000,0.911000,True,True,True,True,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
