retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n
bm25,score_anti_rrf_c10_a2_b0.5,1000,0.997,0.721,1.657,3.709,2.0,0.5,10
bm25,score_anti_rrf_c10_a2_b0.75,1000,0.998,0.579,1.652,4.717,2.0,0.75,10
bm25,score_anti_rrf_c10_a2_b1,1000,0.998,0.449,1.651,5.804,2.0,1.0,10
bm25,score_anti_rrf_c20_a0_b0.1,1000,0.997,0.819,1.663,3.45,0.0,0.1,20
bm25,score_anti_rrf_c20_a0_b0.2,1000,0.998,0.647,1.653,5.581,0.0,0.2,20
bm25,score_anti_rrf_c20_a0_b0.3,1000,0.998,0.476,1.652,8.447,0.0,0.3,20
bm25,score_anti_rrf_c20_a0_b0.5,1000,0.998,0.199,1.646,14.015,0.0,0.5,20
bm25,score_anti_rrf_c20_a0_b0.75,1000,0.996,0.046,1.659,17.9,0.0,0.75,20
bm25,score_anti_rrf_c20_a0_b1,1000,0.987,0.001,1.751,19.552,0.0,1.0,20
bm25,score_anti_rrf_c20_a0.25_b0.1,1000,0.997,0.842,1.664,3.13,0.25,0.1,20
bm25,score_anti_rrf_c20_a0.25_b0.2,1000,0.997,0.721,1.656,4.606,0.25,0.2,20
bm25,score_anti_rrf_c20_a0.25_b0.3,1000,0.998,0.577,1.652,6.629,0.25,0.3,20
bm25,score_anti_rrf_c20_a0.25_b0.5,1000,0.998,0.322,1.647,11.272,0.25,0.5,20
bm25,score_anti_rrf_c20_a0.25_b0.75,1000,0.998,0.125,1.644,15.879,0.25,0.75,20
bm25,score_anti_rrf_c20_a0.25_b1,1000,0.996,0.029,1.672,18.325,0.25,1.0,20
bm25,score_anti_rrf_c20_a0.5_b0.1,1000,0.997,0.862,1.665,2.951,0.5,0.1,20
bm25,score_anti_rrf_c20_a0.5_b0.2,1000,0.997,0.773,1.658,4.017,0.5,0.2,20
bm25,score_anti_rrf_c20_a0.5_b0.3,1000,0.998,0.647,1.653,5.581,0.5,0.3,20
bm25,score_anti_rrf_c20_a0.5_b0.5,1000,0.998,0.421,1.649,9.338,0.5,0.5,20
bm25,score_anti_rrf_c20_a0.5_b0.75,1000,0.998,0.199,1.646,14.015,0.5,0.75,20
bm25,score_anti_rrf_c20_a0.5_b1,1000,0.998,0.087,1.644,16.894,0.5,1.0,20
bm25,score_anti_rrf_c20_a0.75_b0.1,1000,0.997,0.871,1.666,2.845,0.75,0.1,20
bm25,score_anti_rrf_c20_a0.75_b0.2,1000,0.997,0.801,1.659,3.667,0.75,0.2,20
bm25,score_anti_rrf_c20_a0.75_b0.3,1000,0.997,0.701,1.656,4.872,0.75,0.3,20
bm25,score_anti_rrf_c20_a0.75_b0.5,1000,0.998,0.496,1.652,8.007,0.75,0.5,20
bm25,score_anti_rrf_c20_a0.75_b0.75,1000,0.998,0.278,1.647,12.057,0.75,0.75,20
bm25,score_anti_rrf_c20_a0.75_b1,1000,0.998,0.143,1.643,15.433,0.75,1.0,20
bm25,score_anti_rrf_c20_a1_b0.1,1000,0.997,0.881,1.667,2.769,1.0,0.1,20
bm25,score_anti_rrf_c20_a1_b0.2,1000,0.997,0.819,1.663,3.45,1.0,0.2,20
bm25,score_anti_rrf_c20_a1_b0.3,1000,0.997,0.748,1.657,4.351,1.0,0.3,20
bm25,score_anti_rrf_c20_a1_b0.5,1000,0.998,0.556,1.652,6.932,1.0,0.5,20
bm25,score_anti_rrf_c20_a1_b0.75,1000,0.998,0.361,1.648,10.572,1.0,0.75,20
bm25,score_anti_rrf_c20_a1_b1,1000,0.998,0.199,1.646,14.015,1.0,1.0,20
bm25,score_anti_rrf_c20_a1.5_b0.1,1000,0.997,0.891,1.668,2.671,1.5,0.1,20
bm25,score_anti_rrf_c20_a1.5_b0.2,1000,0.997,0.842,1.664,3.13,1.5,0.2,20
bm25,score_anti_rrf_c20_a1.5_b0.3,1000,0.997,0.791,1.658,3.774,1.5,0.3,20
bm25,score_anti_rrf_c20_a1.5_b0.5,1000,0.998,0.647,1.653,5.581,1.5,0.5,20
bm25,score_anti_rrf_c20_a1.5_b0.75,1000,0.998,0.476,1.652,8.447,1.5,0.75,20
bm25,score_anti_rrf_c20_a1.5_b1,1000,0.998,0.322,1.647,11.272,1.5,1.0,20
bm25,score_anti_rrf_c20_a2_b0.1,1000,0.997,0.899,1.669,2.623,2.0,0.1,20
bm25,score_anti_rrf_c20_a2_b0.2,1000,0.997,0.862,1.665,2.951,2.0,0.2,20
bm25,score_anti_rrf_c20_a2_b0.3,1000,0.997,0.819,1.663,3.45,2.0,0.3,20
bm25,score_anti_rrf_c20_a2_b0.5,1000,0.997,0.712,1.655,4.732,2.0,0.5,20
bm25,score_anti_rrf_c20_a2_b0.75,1000,0.998,0.556,1.652,6.932,2.0,0.75,20
bm25,score_anti_rrf_c20_a2_b1,1000,0.998,0.421,1.649,9.338,2.0,1.0,20
bm25,score_anti_rrf_call_a0_b0.1,1000,0.998,0.726,1.575,10.459,0.0,0.1,all
bm25,score_anti_rrf_call_a0_b0.2,1000,0.998,0.466,1.504,75.303,0.0,0.2,all
bm25,score_anti_rrf_call_a0_b0.3,1000,0.997,0.252,1.454,313.546,0.0,0.3,all
bm25,score_anti_rrf_call_a0_b0.5,1000,0.994,0.046,1.511,1198.458,0.0,0.5,all
bm25,score_anti_rrf_call_a0_b0.75,1000,0.96,0.001,4.232,1864.511,0.0,0.75,all
bm25,score_anti_rrf_call_a0_b1,1000,0.882,0.0,58.856,1991.878,0.0,1.0,all
bm25,score_anti_rrf_call_a0.25_b0.1,1000,0.998,0.779,1.589,6.932,0.25,0.1,all
bm25,score_anti_rrf_call_a0.25_b0.2,1000,0.998,0.567,1.528,36.136,0.25,0.2,all
bm25,score_anti_rrf_call_a0.25_b0.3,1000,0.998,0.37,1.477,141.1,0.25,0.3,all
bm25,score_anti_rrf_call_a0.25_b0.5,1000,0.995,0.106,1.43,730.834,0.25,0.5,all
bm25,score_anti_rrf_call_a0.25_b0.75,1000,0.989,0.016,1.756,1577.605,0.25,0.75,all
bm25,score_anti_rrf_call_a0.25_b1,1000,0.947,0.001,7.85,1916.229,0.25,1.0,all
bm25,score_anti_rrf_call_a0.5_b0.1,1000,0.998,0.81,1.605,5.311,0.5,0.1,all
bm25,score_anti_rrf_call_a0.5_b0.2,1000,0.998,0.627,1.548,20.517,0.5,0.2,all
bm25,score_anti_rrf_call_a0.5_b0.3,1000,0.998,0.466,1.504,75.303,0.5,0.3,all
bm25,score_anti_rrf_call_a0.5_b0.5,1000,0.996,0.192,1.436,436.79,0.5,0.5,all
bm25,score_anti_rrf_call_a0.5_b0.75,1000,0.994,0.046,1.511,1198.458,0.5,0.75,all
bm25,score_anti_rrf_call_a0.5_b1,1000,0.977,0.003,2.199,1738.878,0.5,1.0,all
bm25,score_anti_rrf_call_a0.75_b0.1,1000,0.998,0.832,1.609,4.369,0.75,0.1,all
bm25,score_anti_rrf_call_a0.75_b0.2,1000,0.998,0.685,1.564,13.838,0.75,0.2,all
bm25,score_anti_rrf_call_a0.75_b0.3,1000,0.998,0.545,1.522,45.492,0.75,0.3,all
bm25,score_anti_rrf_call_a0.75_b0.5,1000,0.997,0.279,1.458,267.191,0.75,0.5,all
bm25,score_anti_rrf_call_a0.75_b0.75,1000,0.995,0.09,1.442,865.51,0.75,0.75,all
bm25,score_anti_rrf_call_a0.75_b1,1000,0.992,0.023,1.656,1486.487,0.75,1.0,all
bm25,score_anti_rrf_call_a1_b0.1,1000,0.998,0.847,1.612,3.871,1.0,0.1,all
bm25,score_anti_rrf_call_a1_b0.2,1000,0.998,0.726,1.575,10.459,1.0,0.2,all
bm25,score_anti_rrf_call_a1_b0.3,1000,0.998,0.595,1.534,29.26,1.0,0.3,all
bm25,score_anti_rrf_call_a1_b0.5,1000,0.997,0.347,1.474,164.198,1.0,0.5,all
bm25,score_anti_rrf_call_a1_b0.75,1000,0.995,0.126,1.429,615.819,1.0,0.75,all
bm25,score_anti_rrf_call_a1_b1,1000,0.994,0.046,1.511,1198.458,1.0,1.0,all
bm25,score_anti_rrf_call_a1.5_b0.1,1000,0.998,0.865,1.627,3.328,1.5,0.1,all
bm25,score_anti_rrf_call_a1.5_b0.2,1000,0.998,0.779,1.589,6.932,1.5,0.2,all
bm25,score_anti_rrf_call_a1.5_b0.3,1000,0.998,0.665,1.555,15.492,1.5,0.3,all
bm25,score_anti_rrf_call_a1.5_b0.5,1000,0.998,0.466,1.504,75.303,1.5,0.5,all
bm25,score_anti_rrf_call_a1.5_b0.75,1000,0.997,0.252,1.454,313.546,1.5,0.75,all
bm25,score_anti_rrf_call_a1.5_b1,1000,0.995,0.106,1.43,730.834,1.5,1.0,all
bm25,score_anti_rrf_call_a2_b0.1,1000,0.997,0.877,1.64,3.083,2.0,0.1,all
bm25,score_anti_rrf_call_a2_b0.2,1000,0.998,0.81,1.605,5.311,2.0,0.2,all
bm25,score_anti_rrf_call_a2_b0.3,1000,0.998,0.726,1.575,10.459,2.0,0.3,all
bm25,score_anti_rrf_call_a2_b0.5,1000,0.998,0.552,1.524,41.463,2.0,0.5,all
bm25,score_anti_rrf_call_a2_b0.75,1000,0.997,0.347,1.474,164.198,2.0,0.75,all
bm25,score_anti_rrf_call_a2_b1,1000,0.996,0.192,1.436,436.79,2.0,1.0,all
dense,baseline,1000,0.967,0.462,2.075,71.742,,,
dense,score_anti_rrf_c5_a0_b0.1,1000,0.966,0.398,2.07,71.946,0.0,0.1,5
dense,score_anti_rrf_c5_a0_b0.2,1000,0.965,0.343,2.062,72.129,0.0,0.2,5
dense,score_anti_rrf_c5_a0_b0.3,1000,0.963,0.289,2.059,72.279,0.0,0.3,5
dense,score_anti_rrf_c5_a0_b0.5,1000,0.963,0.194,2.058,72.557,0.0,0.5,5
dense,score_anti_rrf_c5_a0_b0.75,1000,0.958,0.113,2.083,72.823,0.0,0.75,5
dense,score_anti_rrf_c5_a0_b1,1000,0.957,0.052,2.211,73.002,0.0,1.0,5
dense,score_anti_rrf_c5_a0.25_b0.1,1000,0.966,0.416,2.071,71.899,0.25,0.1,5
dense,score_anti_rrf_c5_a0.25_b0.2,1000,0.964,0.364,2.065,72.062,0.25,0.2,5
dense,score_anti_rrf_c5_a0.25_b0.3,1000,0.964,0.317,2.062,72.187,0.25,0.3,5
dense,score_anti_rrf_c5_a0.25_b0.5,1000,0.963,0.24,2.058,72.425,0.25,0.5,5
dense,score_anti_rrf_c5_a0.25_b0.75,1000,0.963,0.15,2.061,72.69,0.25,0.75,5
dense,score_anti_rrf_c5_a0.25_b1,1000,0.958,0.1,2.092,72.863,0.25,1.0,5
dense,score_anti_rrf_c5_a0.5_b0.1,1000,0.966,0.424,2.071,71.871,0.5,0.1,5
dense,score_anti_rrf_c5_a0.5_b0.2,1000,0.966,0.386,2.066,72.006,0.5,0.2,5
dense,score_anti_rrf_c5_a0.5_b0.3,1000,0.965,0.343,2.062,72.129,0.5,0.3,5
dense,score_anti_rrf_c5_a0.5_b0.5,1000,0.963,0.268,2.058,72.334,0.5,0.5,5
dense,score_anti_rrf_c5_a0.5_b0.75,1000,0.963,0.194,2.058,72.557,0.5,0.75,5
dense,score_anti_rrf_c5_a0.5_b1,1000,0.959,0.13,2.068,72.75,0.5,1.0,5
dense,score_anti_rrf_c5_a0.75_b0.1,1000,0.966,0.431,2.072,71.847,0.75,0.1,5
dense,score_anti_rrf_c5_a0.75_b0.2,1000,0.966,0.395,2.067,71.977,0.75,0.2,5
dense,score_anti_rrf_c5_a0.75_b0.3,1000,0.965,0.357,2.062,72.084,0.75,0.3,5
dense,score_anti_rrf_c5_a0.75_b0.5,1000,0.963,0.3,2.062,72.251,0.75,0.5,5
dense,score_anti_rrf_c5_a0.75_b0.75,1000,0.963,0.225,2.06,72.467,0.75,0.75,5
dense,score_anti_rrf_c5_a0.75_b1,1000,0.963,0.161,2.061,72.651,0.75,1.0,5
dense,score_anti_rrf_c5_a1_b0.1,1000,0.966,0.434,2.074,71.83,1.0,0.1,5
dense,score_anti_rrf_c5_a1_b0.2,1000,0.966,0.398,2.07,71.946,1.0,0.2,5
dense,score_anti_rrf_c5_a1_b0.3,1000,0.964,0.369,2.065,72.042,1.0,0.3,5
dense,score_anti_rrf_c5_a1_b0.5,1000,0.964,0.312,2.062,72.206,1.0,0.5,5
dense,score_anti_rrf_c5_a1_b0.75,1000,0.963,0.25,2.056,72.389,1.0,0.75,5
dense,score_anti_rrf_c5_a1_b1,1000,0.963,0.194,2.058,72.557,1.0,1.0,5
dense,score_anti_rrf_c5_a1.5_b0.1,1000,0.966,0.437,2.073,71.815,1.5,0.1,5
dense,score_anti_rrf_c5_a1.5_b0.2,1000,0.966,0.416,2.071,71.899,1.5,0.2,5
dense,score_anti_rrf_c5_a1.5_b0.3,1000,0.966,0.392,2.067,71.986,1.5,0.3,5
dense,score_anti_rrf_c5_a1.5_b0.5,1000,0.965,0.343,2.062,72.129,1.5,0.5,5
dense,score_anti_rrf_c5_a1.5_b0.75,1000,0.963,0.289,2.059,72.279,1.5,0.75,5
dense,score_anti_rrf_c5_a1.5_b1,1000,0.963,0.24,2.058,72.425,1.5,1.0,5
dense,score_anti_rrf_c5_a2_b0.1,1000,0.966,0.44,2.073,71.803,2.0,0.1,5
dense,score_anti_rrf_c5_a2_b0.2,1000,0.966,0.424,2.071,71.871,2.0,0.2,5
dense,score_anti_rrf_c5_a2_b0.3,1000,0.966,0.398,2.07,71.946,2.0,0.3,5
dense,score_anti_rrf_c5_a2_b0.5,1000,0.964,0.36,2.064,72.074,2.0,0.5,5
dense,score_anti_rrf_c5_a2_b0.75,1000,0.964,0.312,2.062,72.206,2.0,0.75,5
dense,score_anti_rrf_c5_a2_b1,1000,0.963,0.268,2.058,72.334,2.0,1.0,5
dense,score_anti_rrf_c10_a0_b0.1,1000,0.966,0.395,2.072,72.275,0.0,0.1,10
dense,score_anti_rrf_c10_a0_b0.2,1000,0.963,0.332,2.068,72.797,0.0,0.2,10
dense,score_anti_rrf_c10_a0_b0.3,1000,0.963,0.278,2.07,73.26,0.0,0.3,10
dense,score_anti_rrf_c10_a0_b0.5,1000,0.963,0.173,2.078,74.139,0.0,0.5,10
dense,score_anti_rrf_c10_a0_b0.75,1000,0.955,0.095,2.115,74.957,0.0,0.75,10
dense,score_anti_rrf_c10_a0_b1,1000,0.932,0.014,2.257,75.554,0.0,1.0,10
dense,score_anti_rrf_c10_a0.25_b0.1,1000,0.965,0.41,2.075,72.172,0.25,0.1,10
dense,score_anti_rrf_c10_a0.25_b0.2,1000,0.965,0.36,2.07,72.604,0.25,0.2,10
dense,score_anti_rrf_c10_a0.25_b0.3,1000,0.963,0.312,2.07,73.009,0.25,0.3,10
dense,score_anti_rrf_c10_a0.25_b0.5,1000,0.962,0.225,2.082,73.715,0.25,0.5,10
dense,score_anti_rrf_c10_a0.25_b0.75,1000,0.961,0.136,2.086,74.52,0.25,0.75,10
dense,score_anti_rrf_c10_a0.25_b1,1000,0.953,0.086,2.123,75.09,0.25,1.0,10
dense,score_anti_rrf_c10_a0.5_b0.1,1000,0.967,0.421,2.073,72.096,0.5,0.1,10
dense,score_anti_rrf_c10_a0.5_b0.2,1000,0.965,0.377,2.071,72.454,0.5,0.2,10
dense,score_anti_rrf_c10_a0.5_b0.3,1000,0.963,0.332,2.068,72.797,0.5,0.3,10
dense,score_anti_rrf_c10_a0.5_b0.5,1000,0.962,0.259,2.077,73.396,0.5,0.5,10
dense,score_anti_rrf_c10_a0.5_b0.75,1000,0.963,0.173,2.078,74.139,0.5,0.75,10
dense,score_anti_rrf_c10_a0.5_b1,1000,0.96,0.119,2.098,74.741,0.5,1.0,10
dense,score_anti_rrf_c10_a0.75_b0.1,1000,0.967,0.427,2.072,72.034,0.75,0.1,10
dense,score_anti_rrf_c10_a0.75_b0.2,1000,0.966,0.389,2.073,72.334,0.75,0.2,10
dense,score_anti_rrf_c10_a0.75_b0.3,1000,0.965,0.353,2.069,72.662,0.75,0.3,10
dense,score_anti_rrf_c10_a0.75_b0.5,1000,0.963,0.29,2.076,73.197,0.75,0.5,10
dense,score_anti_rrf_c10_a0.75_b0.75,1000,0.963,0.209,2.08,73.848,0.75,0.75,10
dense,score_anti_rrf_c10_a0.75_b1,1000,0.961,0.15,2.082,74.405,0.75,1.0,10
dense,score_anti_rrf_c10_a1_b0.1,1000,0.967,0.431,2.075,71.995,1.0,0.1,10
dense,score_anti_rrf_c10_a1_b0.2,1000,0.966,0.395,2.072,72.275,1.0,0.2,10
dense,score_anti_rrf_c10_a1_b0.3,1000,0.965,0.365,2.068,72.558,1.0,0.3,10
dense,score_anti_rrf_c10_a1_b0.5,1000,0.963,0.305,2.071,73.054,1.0,0.5,10
dense,score_anti_rrf_c10_a1_b0.75,1000,0.962,0.237,2.079,73.602,1.0,0.75,10
dense,score_anti_rrf_c10_a1_b1,1000,0.963,0.173,2.078,74.139,1.0,1.0,10
dense,score_anti_rrf_c10_a1.5_b0.1,1000,0.967,0.436,2.074,71.951,1.5,0.1,10
dense,score_anti_rrf_c10_a1.5_b0.2,1000,0.965,0.41,2.075,72.172,1.5,0.2,10
dense,score_anti_rrf_c10_a1.5_b0.3,1000,0.965,0.383,2.073,72.368,1.5,0.3,10
dense,score_anti_rrf_c10_a1.5_b0.5,1000,0.963,0.332,2.068,72.797,1.5,0.5,10
dense,score_anti_rrf_c10_a1.5_b0.75,1000,0.963,0.278,2.07,73.26,1.5,0.75,10
dense,score_anti_rrf_c10_a1.5_b1,1000,0.962,0.225,2.082,73.715,1.5,1.0,10
dense,score_anti_rrf_c10_a2_b0.1,1000,0.967,0.44,2.072,71.925,2.0,0.1,10
dense,score_anti_rrf_c10_a2_b0.2,1000,0.967,0.421,2.073,72.096,2.0,0.2,10
dense,score_anti_rrf_c10_a2_b0.3,1000,0.966,0.395,2.072,72.275,2.0,0.3,10
dense,score_anti_rrf_c10_a2_b0.5,1000,0.965,0.355,2.07,72.641,2.0,0.5,10
dense,score_anti_rrf_c10_a2_b0.75,1000,0.963,0.305,2.071,73.054,2.0,0.75,10
dense,score_anti_rrf_c10_a2_b1,1000,0.962,0.259,2.077,73.396,2.0,1.0,10
dense,score_anti_rrf_c20_a0_b0.1,1000,0.966,0.392,2.074,72.999,0.0,0.1,20
dense,score_anti_rrf_c20_a0_b0.2,1000,0.964,0.328,2.063,74.187,0.0,0.2,20
dense,score_anti_rrf_c20_a0_b0.3,1000,0.964,0.273,2.059,75.376,0.0,0.3,20
dense,score_anti_rrf_c20_a0_b0.5,1000,0.96,0.17,2.082,77.596,0.0,0.5,20
dense,score_anti_rrf_c20_a0_b0.75,1000,0.952,0.083,2.13,79.914,0.0,0.75,20
dense,score_anti_rrf_c20_a0_b1,1000,0.931,0.007,2.273,81.497,0.0,1.0,20
dense,score_anti_rrf_c20_a0.25_b0.1,1000,0.966,0.408,2.075,72.725,0.25,0.1,20
